구분,No.,Korean,Scientific,Family,구분,수량
8. 지피원,27,배롱나무,Lagerstroemia indica,부처꽃과,낙엽관목,5
8. 지피원,28,베르날리스 풍년화,Hamamelis vernalis,조록나무과,낙엽관목,1
8. 지피원,29,복사나무,Prunus persica,장미과,낙엽관목,1
8. 지피원,30,복사나무 '남경도',Prunus persica 'Namkyeongdo',장미과,낙엽관목,2
8. 지피원,31,비비추류 1,Hosta sp.,비비추과,다년초,
8. 지피원,32,비타민나무,Hippophae rhamnoides,보리수나무과,낙엽관목,10
8. 지피원,33,사사,Pleioblastus sp.,벼과,상록관목,2
8. 지피원,34,사철나무,Euonymus japonicus,노박덩굴과,상록관목,20
8. 지피원,35,사철채송화(송엽국),Lampranthus spectabilis,번행초과,다년초,
8. 지피원,36,산딸나무,Cornus kousa,층층나무과,낙엽교목,6
8. 지피원,37,서양톱풀,Achillea millefolium,국화과,다년초,
8. 지피원,38,서양톱풀 '썸머 파스텔',Achillea millefolium 'Summer Pastels' ,국화과,다년초,
8. 지피원,39,설구화,Viburnum plicatum,인동과,낙엽관목,3
8. 지피원,40,소주조팝나무 ,Spiraea prunifolia,장미과,낙엽관목,1
8. 지피원,41,수양 꽃사과,Malus floribunda 'Pendula',장미과,낙엽관목,1
8. 지피원,42,수양 때죽나무,Styrax japonicus 'Pendula',때죽나무과,낙엽관목,1
8. 지피원,43,술패랭이꽃,Dianthus longicalyx ,석죽과,다년초,
8. 지피원,44,스카브라 말발도리 (무늬),Deutzia scabra 'Variegata',범의귀과,낙엽관목,10
8. 지피원,45,실화백,Chamaecyparis pisifera,측백나무과,상록교목,3
8. 지피원,46,애기동백나무,Camellia sasanqua,차나무과,상록관목,1
8. 지피원,47,왜성 배롱나무,Lagerstroemia indica 'Dwarf',부처꽃과,낙엽관목,5
8. 지피원,48,이스라지,Prunus japonica var. nakaii,장미과,낙엽관목,12
8. 지피원,49,자란,Bletilla striata,난초과,다년초,
8. 지피원,50,장수박태기나무,Cercis sp.,콩과,낙엽교목,2
8. 지피원,51,좀꽝꽝나무,Ilex crenata var. microphylla,감탕나무과,상록관목,1
8. 지피원,52,종지나물,Viola papilionacea,제비꽃과,다년초,
8. 지피원,53,주걱비비추,Hosta clausa ,비비추과,다년초,
8. 지피원,54,줄사철나무,Euonymus fortunei var. radicans,노박덩굴과,상록관목,5
8. 지피원,55,처진뽕나무,Morus alba f. pendula,뽕나무과,낙엽교목,1
8. 지피원,56,처진소나무,Pinus densiflora 'Pendula',소나무과,낙엽교목,1
8. 지피원,57,팜파스그라스,Cortaderia selloana,벼과,다년초,
8. 지피원,58,팥꽃나무,Daphne genkwa ,팥꽃나무과,낙엽관목,8
8. 지피원,59,풍년화,Hamamelis japonica,조록나무과,낙엽관목,1
8. 지피원,60,풍접초,Cleome hassleriana,풍접초과,1년초,
8. 지피원,61,하늘매발톱,Aquilegia japonica,미나리아재비과,다년초,
8. 지피원,62,해당화,Rosa rugosa,장미과,낙엽관목,50
8. 지피원,63,헬레보루스,Helleborus orientalis ,미나리아재비과,다년초,
8. 지피원,64,호랑가시나무,Ilex cornuta,감탕나무과,상록교목,21
8. 지피원,65,홍가시나무,Photinia glabra,장미과,낙엽교목,2
8. 지피원,66,홍단풍,Acer palmatum var. speciosum,단풍나무과,낙엽교목,1
8. 지피원,67,홍자단,Cotoneaster horizontalis ,장미과,낙엽관목,1
8. 지피원,68,황금측백나무,Platycladus orientalis 'Aurea Nana' ,측백나무과,상록관목,
8. 지피원,69,회양목,Buxus koreana ,회양목과,상록관목,5
8. 지피원,70,후박나무,Machilus thunbergii ,녹나무과,상록교목,1
9. 조팝나무원,1,가는잎처녀고사리,Parathelypteris beddomei,처녀고사리과,다년초,
9. 조팝나무원,2,가침박달,Exochorda serratifolia ,장미과,낙엽관목,4
9. 조팝나무원,3,고로쇠나무,Acer pictum subsp. mono,단풍나무과,낙엽교목,2
9. 조팝나무원,4,고추나무,Staphylea bumalda,고추나무과,낙엽관목,4
9. 조팝나무원,5,공조팝나무,Spiraea cantoniensis,장미과,낙엽관목,50
9. 조팝나무원,6,구실잣밤나무,Castanopsis sieboldii ,참나무과,상록교목,5
9. 조팝나무원,7,귀룽나무,Prunus padus,장미과,낙엽교목,2
